# Chunk-averaged data for fix 2 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
1461000 20 3000
  1 -12.5596 142 1.12691
  2 -11.2375 155 1.28882
  3 -9.91547 161 1.35899
  4 -8.59341 153 1.36427
  5 -7.27134 145 1.01374
  6 -5.94928 158 1.55123
  7 -4.62722 141 1.14487
  8 -3.30516 149 1.19889
  9 -1.98309 154 1.38585
  10 -0.661031 150 1.2007
  11 0.661031 150 1.24023
  12 1.98309 155 1.34812
  13 3.30516 141 1.04603
  14 4.62722 153 1.38404
  15 5.94928 157 1.33198
  16 7.27134 139 1.08194
  17 8.59341 158 1.37332
  18 9.91547 152 1.30316
  19 11.2375 132 1.00996
  20 12.5596 155 1.44696
