# Chunk-averaged data for fix 3 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
1461000 20 3000
  1 -12.5596 145 1.11257
  2 -11.2375 155 1.40743
  3 -9.91547 142 1.14668
  4 -8.59341 161 1.33922
  5 -7.27134 138 1.23827
  6 -5.94928 159 1.3356
  7 -4.62722 147 1.21503
  8 -3.30516 147 1.2348
  9 -1.98309 155 1.28882
  10 -0.661031 148 1.21684
  11 0.661031 148 1.25638
  12 1.98309 154 1.22771
  13 3.30516 150 1.3786
  14 4.62722 145 1.17188
  15 5.94928 163 1.36261
  16 7.27134 139 1.24008
  17 8.59341 155 1.22952
  18 9.91547 142 1.18621
  19 11.2375 155 1.34812
  20 12.5596 152 1.26362
