# Chunk-averaged data for fix 4 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
1461000 20 3000
  1 -12.5596 144 1.22937
  2 -11.2375 141 1.08556
  3 -9.91547 156 1.44877
  4 -8.59341 144 1.13053
  5 -7.27134 151 1.28158
  6 -5.94928 143 1.24732
  7 -4.62722 153 1.12706
  8 -3.30516 148 1.29591
  9 -1.98309 148 1.31568
  10 -0.661031 156 1.2511
  11 0.661031 149 1.27796
  12 1.98309 158 1.29425
  13 3.30516 136 1.21488
  14 4.62722 153 1.18636
  15 5.94928 166 1.48665
  16 7.27134 138 1.13943
  17 8.59341 144 1.13053
  18 9.91547 160 1.45602
  19 11.2375 146 1.11438
  20 12.5596 166 1.48665
